Class;Symbol;System;Side;Variant;OptimizedParams;Combinations;Algorithm;MagicNumber;Status;Path;SHA256
01_Forex;AUDCAD;08_GRID_UNIFIED;BOTH;ICHIMOKU;37;171159775189401600000;FAST_GENETIC;655575395;HEDGE_ACCOUNT_REQUIRED;01_Forex/AUDCAD/08_GRID_UNIFIED/BOTH_ICHIMOKU.set;3EEA08385C6FDB108C7F4DB860466B8A0E540A467E51E0A439B94C07773A2BE4
01_Forex;AUDCAD;09_MARTINGALE;BUY;MULTI;34;1598019506012160000000;FAST_GENETIC;676184828;HIGH_RISK;01_Forex/AUDCAD/09_MARTINGALE/BUY_MULTI.set;61485A59B41C50A9B98320A6EA55269D5A4C9285CE577080B3B637C14743085F
01_Forex;AUDCAD;09_MARTINGALE;BUY;ICHIMOKU;33;34865880131174400000;FAST_GENETIC;612722447;HIGH_RISK;01_Forex/AUDCAD/09_MARTINGALE/BUY_ICHIMOKU.set;49FE4DCD7CDE944BB7B35A6A9C3DB45A55B18ACAE14C33CF360503D51B26FD6B
01_Forex;AUDCAD;09_MARTINGALE;SELL;MULTI;34;1598019506012160000000;FAST_GENETIC;679555708;HIGH_RISK;01_Forex/AUDCAD/09_MARTINGALE/SELL_MULTI.set;66D4C332DECA83F21CDDE0EA7CA65F7D6552B3359C2E29BB597EBA7A18E274B6
01_Forex;AUDCAD;09_MARTINGALE;SELL;ICHIMOKU;33;34865880131174400000;FAST_GENETIC;635167859;HIGH_RISK;01_Forex/AUDCAD/09_MARTINGALE/SELL_ICHIMOKU.set;D3B9FAABEBB653B72262377D1D657AE8ADB6D4BB624A03321A86B1C47BCF03F8
01_Forex;AUDCAD;10_DALEMBERT;BUY;MULTI;35;7990097530060800000000;FAST_GENETIC;653478669;HIGH_RISK;01_Forex/AUDCAD/10_DALEMBERT/BUY_MULTI.set;F407FF8BD4F2EB017FBBF4B99A49DCC4F15AC060F8087856775F18DAAD249C29
01_Forex;AUDCAD;10_DALEMBERT;BUY;ICHIMOKU;34;174329400655872000000;FAST_GENETIC;613720140;HIGH_RISK;01_Forex/AUDCAD/10_DALEMBERT/BUY_ICHIMOKU.set;EE52A5E74E3A75377B6F95169BF0EE227E5BFF1EE662AE079E5FC16730B28D2E
01_Forex;AUDCAD;10_DALEMBERT;SELL;MULTI;35;7990097530060800000000;FAST_GENETIC;662190008;HIGH_RISK;01_Forex/AUDCAD/10_DALEMBERT/SELL_MULTI.set;561ADAE5D0E00C37674E163000F14671C002A0F3554282DCD93EA5BC3321F0EA
01_Forex;AUDCAD;10_DALEMBERT;SELL;ICHIMOKU;34;174329400655872000000;FAST_GENETIC;632000212;HIGH_RISK;01_Forex/AUDCAD/10_DALEMBERT/SELL_ICHIMOKU.set;F9C2C1CFA50CDC516CC71D947F00E89A02C3F70DF96D9601B4DDA25F7BE19E69
01_Forex;AUDCAD;11_SIGNAL_ONLY;BUY;MULTI;28;22254059520000000;FAST_GENETIC;668054277;HIGH_RISK_RESEARCH;01_Forex/AUDCAD/11_SIGNAL_ONLY/BUY_MULTI.set;80B9E76DED207861913F7FBD08B7F22B69A547E9036B43605A663D65176C3FBA
01_Forex;AUDCAD;11_SIGNAL_ONLY;BUY;ICHIMOKU;27;485543116800000;FAST_GENETIC;641864773;HIGH_RISK_RESEARCH;01_Forex/AUDCAD/11_SIGNAL_ONLY/BUY_ICHIMOKU.set;057B3914A34F493505BC9A59B777444E950E35C517AB93FA01E135E6596ACD89
01_Forex;AUDCAD;11_SIGNAL_ONLY;SELL;MULTI;28;22254059520000000;FAST_GENETIC;659495903;HIGH_RISK_RESEARCH;01_Forex/AUDCAD/11_SIGNAL_ONLY/SELL_MULTI.set;B154EF1185864B754EAD30344ADD27AF040622B3824CA9CDC7AE054E368CE4F2
01_Forex;AUDCAD;11_SIGNAL_ONLY;SELL;ICHIMOKU;27;485543116800000;FAST_GENETIC;664166129;HIGH_RISK_RESEARCH;01_Forex/AUDCAD/11_SIGNAL_ONLY/SELL_ICHIMOKU.set;36F0B9001F131A17FB2F3DE609B32E0661DDAC22024EC4EA48A60E53A385904C
01_Forex;AUDCHF;01_SLTP;BUY;MULTI;33;399504876503040000000;FAST_GENETIC;684351864;RESEARCH;01_Forex/AUDCHF/01_SLTP/BUY_MULTI.set;36D292A223ED7B4415F82A135D97CEC3D275EF1D8A7495230049FB65493F5C52
01_Forex;AUDCHF;01_SLTP;BUY;ICHIMOKU;32;8716470032793600000;FAST_GENETIC;613178379;RESEARCH;01_Forex/AUDCHF/01_SLTP/BUY_ICHIMOKU.set;EF0DB077EF3F761E1854F55234FB87461C0612D42DB0C5DE6DCA9777909C602C
01_Forex;AUDCHF;01_SLTP;SELL;MULTI;33;399504876503040000000;FAST_GENETIC;684618679;RESEARCH;01_Forex/AUDCHF/01_SLTP/SELL_MULTI.set;7256671D98524F7FAD9D2B89F03C954BC74F966A870DCEF6B4DA4CF91BFC9E84
01_Forex;AUDCHF;01_SLTP;SELL;ICHIMOKU;32;8716470032793600000;FAST_GENETIC;618902868;RESEARCH;01_Forex/AUDCHF/01_SLTP/SELL_ICHIMOKU.set;D8B2258A84B6D128591B14DEE31299C1C63AC575218E7B25ECC977185826536D
01_Forex;AUDCHF;02_SLTP_ORGANIC;BUY;MULTI;33;399504876503040000000;FAST_GENETIC;621131839;RESEARCH;01_Forex/AUDCHF/02_SLTP_ORGANIC/BUY_MULTI.set;AD245E5C532F734AECB396E21312D06DC335CB2B9BD318C94F72D4297941311F
01_Forex;AUDCHF;02_SLTP_ORGANIC;BUY;ICHIMOKU;32;8716470032793600000;FAST_GENETIC;620941671;RESEARCH;01_Forex/AUDCHF/02_SLTP_ORGANIC/BUY_ICHIMOKU.set;D5EC0841A6F5453962593804A9CB23190D940646126FE4A30188731178C12DD7
01_Forex;AUDCHF;02_SLTP_ORGANIC;SELL;MULTI;33;399504876503040000000;FAST_GENETIC;629919490;RESEARCH;01_Forex/AUDCHF/02_SLTP_ORGANIC/SELL_MULTI.set;7888C79A87273A40E1B01F13F729C173D571CFAD29A719FA81F902A5965F8287
01_Forex;AUDCHF;02_SLTP_ORGANIC;SELL;ICHIMOKU;32;8716470032793600000;FAST_GENETIC;673355277;RESEARCH;01_Forex/AUDCHF/02_SLTP_ORGANIC/SELL_ICHIMOKU.set;C9414E2FEF4316549A75F084470D3C0DEE05A1C33D63324CB14C8CEDCB7B2019
01_Forex;AUDCHF;03_TRAIL_ONLY;BUY;MULTI;32;107709648076800000000;FAST_GENETIC;676593319;RESEARCH;01_Forex/AUDCHF/03_TRAIL_ONLY/BUY_MULTI.set;C9F76C843531B0C34FCDBB2C6BE45549A505BE253B33F4CE9278D7140E0A1D55
01_Forex;AUDCHF;03_TRAIL_ONLY;BUY;ICHIMOKU;31;2350028685312000000;FAST_GENETIC;675004173;RESEARCH;01_Forex/AUDCHF/03_TRAIL_ONLY/BUY_ICHIMOKU.set;257652DE43E2308A95D9EA601C986266E3D8659B952A1EE2250839E25227FF84
01_Forex;AUDCHF;03_TRAIL_ONLY;SELL;MULTI;32;107709648076800000000;FAST_GENETIC;690332800;RESEARCH;01_Forex/AUDCHF/03_TRAIL_ONLY/SELL_MULTI.set;12A1A0D82E7F2BCC23FC33583164E12653EAE4F8BBBBD7095B91C4939FF90098
01_Forex;AUDCHF;03_TRAIL_ONLY;SELL;ICHIMOKU;31;2350028685312000000;FAST_GENETIC;633791150;RESEARCH;01_Forex/AUDCHF/03_TRAIL_ONLY/SELL_ICHIMOKU.set;86224AC6DA8C12F81955CFA1E92224D1E1408D722E244B8A9D147C5D8A51B6A5
01_Forex;AUDCHF;04_SLTP_TRAIL;BUY;MULTI;36;87891072830668800000000;FAST_GENETIC;690528918;RESEARCH;01_Forex/AUDCHF/04_SLTP_TRAIL/BUY_MULTI.set;AFE7C0A1F165AA65E677817992C6C71E12B70EB4EE4310EC204DAAE42EF195E0
01_Forex;AUDCHF;04_SLTP_TRAIL;BUY;ICHIMOKU;35;1917623407214592000000;FAST_GENETIC;680647539;RESEARCH;01_Forex/AUDCHF/04_SLTP_TRAIL/BUY_ICHIMOKU.set;A90D082E2F33E7F3406B387A9452B32DD79429A574E8AC9DAF7CF03FEC739827
01_Forex;AUDCHF;04_SLTP_TRAIL;SELL;MULTI;36;87891072830668800000000;FAST_GENETIC;638776013;RESEARCH;01_Forex/AUDCHF/04_SLTP_TRAIL/SELL_MULTI.set;D5FA0F4913AD4C4BD7B169489FD4B78B329A6D2FA9A8CECCB1D83945BCEDFC12
01_Forex;AUDCHF;04_SLTP_TRAIL;SELL;ICHIMOKU;35;1917623407214592000000;FAST_GENETIC;632813009;RESEARCH;01_Forex/AUDCHF/04_SLTP_TRAIL/SELL_ICHIMOKU.set;3E94A34FD24B26CDEE0FD39137ABB5C59F6160B971CA2CE06DAF453B0A3BAEE6
01_Forex;AUDCHF;05_BE_TRAIL;BUY;MULTI;33;646257888460800000000;FAST_GENETIC;682211282;RESEARCH;01_Forex/AUDCHF/05_BE_TRAIL/BUY_MULTI.set;A75D9371924BD91640B328942461D08E1860F8D8E572483479EB10774F3C4CE5
01_Forex;AUDCHF;05_BE_TRAIL;BUY;ICHIMOKU;32;14100172111872000000;FAST_GENETIC;619028582;RESEARCH;01_Forex/AUDCHF/05_BE_TRAIL/BUY_ICHIMOKU.set;C5126E3CE0DDF54A2D8DE660FAE5C879334EAFECAF0118D75ACF06486387C29B
01_Forex;AUDCHF;05_BE_TRAIL;SELL;MULTI;33;646257888460800000000;FAST_GENETIC;628718469;RESEARCH;01_Forex/AUDCHF/05_BE_TRAIL/SELL_MULTI.set;85666A72DD54DB6D37336F400397C06F28252C3CDD3DFA3B625B225113AB9FA5
01_Forex;AUDCHF;05_BE_TRAIL;SELL;ICHIMOKU;32;14100172111872000000;FAST_GENETIC;689014994;RESEARCH;01_Forex/AUDCHF/05_BE_TRAIL/SELL_ICHIMOKU.set;7BEECB481800D2449F4F0C8F4F699AE04F531D421E79F284B5CEE2B32060BD7B
01_Forex;AUDCHF;06_REVERSAL_EXIT;BUY;MULTI;36;5170063107686400000000;FAST_GENETIC;637876369;RESEARCH;01_Forex/AUDCHF/06_REVERSAL_EXIT/BUY_MULTI.set;71901884C65802E604EE2383785D8799DA89EDC732720D084A92F992918B4508
01_Forex;AUDCHF;06_REVERSAL_EXIT;BUY;ICHIMOKU;35;112801376894976000000;FAST_GENETIC;623806936;RESEARCH;01_Forex/AUDCHF/06_REVERSAL_EXIT/BUY_ICHIMOKU.set;DEB5EAEB0DC48A2FF407CD71312A84223C0C3DBFE2E458284572437005BAD31D
01_Forex;AUDCHF;06_REVERSAL_EXIT;SELL;MULTI;36;5170063107686400000000;FAST_GENETIC;613717521;RESEARCH;01_Forex/AUDCHF/06_REVERSAL_EXIT/SELL_MULTI.set;C7CCB97FDAFD34D5265E72B33C810016AD7693318DFB392974C820566F78B776
01_Forex;AUDCHF;06_REVERSAL_EXIT;SELL;ICHIMOKU;35;112801376894976000000;FAST_GENETIC;624306757;RESEARCH;01_Forex/AUDCHF/06_REVERSAL_EXIT/SELL_ICHIMOKU.set;D3E59110EEB445781594A0CE9CAA93198D81B5FDCFF8B314E48A8D201CB90FC6
01_Forex;AUDCHF;07_GRID_SEPARATE;BUY;MULTI;36;1961205757378560000000;FAST_GENETIC;624952084;HEDGE_ACCOUNT_REQUIRED;01_Forex/AUDCHF/07_GRID_SEPARATE/BUY_MULTI.set;0ECD8C6E34D28C4D7BFDA5B99D6A9AA82F8805D32E10517FF32D106F4D7E2F81
01_Forex;AUDCHF;07_GRID_SEPARATE;BUY;ICHIMOKU;35;42789943797350400000;FAST_GENETIC;639562312;HEDGE_ACCOUNT_REQUIRED;01_Forex/AUDCHF/07_GRID_SEPARATE/BUY_ICHIMOKU.set;A8D37A51A8F32172BFF5AF0ACCDC497A84224AC0CEF7772353726A8BD277DE42
01_Forex;AUDCHF;07_GRID_SEPARATE;SELL;MULTI;36;1961205757378560000000;FAST_GENETIC;650493493;HEDGE_ACCOUNT_REQUIRED;01_Forex/AUDCHF/07_GRID_SEPARATE/SELL_MULTI.set;3350426DC0F7F71461E55EED16C1446A1A0AA1C0D96982A5853F8AADC0B649BB
01_Forex;AUDCHF;07_GRID_SEPARATE;SELL;ICHIMOKU;35;42789943797350400000;FAST_GENETIC;633204744;HEDGE_ACCOUNT_REQUIRED;01_Forex/AUDCHF/07_GRID_SEPARATE/SELL_ICHIMOKU.set;E0E3B7AF13A5637642BF309ECF2773F2F1126BCFFBC3752D61E9127CE68F62C6
01_Forex;AUDCHF;08_GRID_UNIFIED;BOTH;MULTI;38;7844823029514240000000;FAST_GENETIC;668085437;HEDGE_ACCOUNT_REQUIRED;01_Forex/AUDCHF/08_GRID_UNIFIED/BOTH_MULTI.set;812C152916C3260060975260D43938A11A26566F9CA9855181817A2F21306576
01_Forex;AUDCHF;08_GRID_UNIFIED;BOTH;ICHIMOKU;37;171159775189401600000;FAST_GENETIC;666668164;HEDGE_ACCOUNT_REQUIRED;01_Forex/AUDCHF/08_GRID_UNIFIED/BOTH_ICHIMOKU.set;A2C16B1F4BE1FCD512C8AD884FF734AF5B1996C343A20904CC6A61606724222A
01_Forex;AUDCHF;09_MARTINGALE;BUY;MULTI;34;1598019506012160000000;FAST_GENETIC;680993881;HIGH_RISK;01_Forex/AUDCHF/09_MARTINGALE/BUY_MULTI.set;1541EB8CE532B0F667E9344C5E123C754F6AF2C9742DDEBF56CD1BC88C2DF348
01_Forex;AUDCHF;09_MARTINGALE;BUY;ICHIMOKU;33;34865880131174400000;FAST_GENETIC;624115368;HIGH_RISK;01_Forex/AUDCHF/09_MARTINGALE/BUY_ICHIMOKU.set;84ACFD90C8484A9C76287E8E07BBCA9BA4155FC3EFB2D35982C6080A65B77162
01_Forex;AUDCHF;09_MARTINGALE;SELL;MULTI;34;1598019506012160000000;FAST_GENETIC;616032966;HIGH_RISK;01_Forex/AUDCHF/09_MARTINGALE/SELL_MULTI.set;4FDA3FD9CA5B4D2F8BCA6897ED1C0736F32D7670FC336E0EEB01B4864F120A93
01_Forex;AUDCHF;09_MARTINGALE;SELL;ICHIMOKU;33;34865880131174400000;FAST_GENETIC;687516108;HIGH_RISK;01_Forex/AUDCHF/09_MARTINGALE/SELL_ICHIMOKU.set;E22B6DBE138A0D1F858781E1E0973665726089DD31EEBED2E3FB6505E07E0EC3
01_Forex;AUDCHF;10_DALEMBERT;BUY;MULTI;35;7990097530060800000000;FAST_GENETIC;654865942;HIGH_RISK;01_Forex/AUDCHF/10_DALEMBERT/BUY_MULTI.set;71B9B650CFDFE7F5EC7B5B5D7F0B5BAE1D5F71E84BB1D5745E93F5FE0161B1AC
01_Forex;AUDCHF;10_DALEMBERT;BUY;ICHIMOKU;34;174329400655872000000;FAST_GENETIC;672179115;HIGH_RISK;01_Forex/AUDCHF/10_DALEMBERT/BUY_ICHIMOKU.set;E1A0D4564AFCA4B8A5EAA3511FB64D095E69D3856D5CF50F63A377C676F095FB
01_Forex;AUDCHF;10_DALEMBERT;SELL;MULTI;35;7990097530060800000000;FAST_GENETIC;681084776;HIGH_RISK;01_Forex/AUDCHF/10_DALEMBERT/SELL_MULTI.set;B4BBFC72F98179E4B85835ACB6EA6DF67063AC60EBAD6F0C8CB424DA79819288
01_Forex;AUDCHF;10_DALEMBERT;SELL;ICHIMOKU;34;174329400655872000000;FAST_GENETIC;623117333;HIGH_RISK;01_Forex/AUDCHF/10_DALEMBERT/SELL_ICHIMOKU.set;A5C7A1A24BAE0EDF9EEEE4DAA118A3A3D27B5E5D86885C026FA3D5768014ED1E
01_Forex;AUDCHF;11_SIGNAL_ONLY;BUY;MULTI;28;22254059520000000;FAST_GENETIC;649977127;HIGH_RISK_RESEARCH;01_Forex/AUDCHF/11_SIGNAL_ONLY/BUY_MULTI.set;F6A53634AFAD49257BC9B7BE009EE4342D23E5E4785F35D000E75A8A6C1A3246
01_Forex;AUDCHF;11_SIGNAL_ONLY;BUY;ICHIMOKU;27;485543116800000;FAST_GENETIC;675594349;HIGH_RISK_RESEARCH;01_Forex/AUDCHF/11_SIGNAL_ONLY/BUY_ICHIMOKU.set;EEAB2D06216CB9F0989FD54192B34A55C536B8D577E8CA76AA09378239731F6B
01_Forex;AUDCHF;11_SIGNAL_ONLY;SELL;MULTI;28;22254059520000000;FAST_GENETIC;653353724;HIGH_RISK_RESEARCH;01_Forex/AUDCHF/11_SIGNAL_ONLY/SELL_MULTI.set;01B4D96B54DEDDA1D1391B746F22E941416DAA6B33B0EC691A2CAC0609DF3DC1
01_Forex;AUDCHF;11_SIGNAL_ONLY;SELL;ICHIMOKU;27;485543116800000;FAST_GENETIC;611569858;HIGH_RISK_RESEARCH;01_Forex/AUDCHF/11_SIGNAL_ONLY/SELL_ICHIMOKU.set;162EB9A65EB0FA8D1277C358526A5855DFD4B2EB4B5881A5E810E46539EBB011
01_Forex;AUDJPY;01_SLTP;BUY;MULTI;33;399504876503040000000;FAST_GENETIC;684581074;RESEARCH;01_Forex/AUDJPY/01_SLTP/BUY_MULTI.set;53275172AA11266D045BC584170B9DA4305FB97616D5018C0DC220959A164F02
01_Forex;AUDJPY;01_SLTP;BUY;ICHIMOKU;32;8716470032793600000;FAST_GENETIC;646068074;RESEARCH;01_Forex/AUDJPY/01_SLTP/BUY_ICHIMOKU.set;884205A6987BB0637CBCD864C55683CCC33EE6044F988EAF434BB9A1D4080DFC
01_Forex;AUDJPY;01_SLTP;SELL;MULTI;33;399504876503040000000;FAST_GENETIC;629054426;RESEARCH;01_Forex/AUDJPY/01_SLTP/SELL_MULTI.set;282345DFD3BD3011C5AA0E2A9C53A8ECB9F33E18F1B07437C77687588A73CFF0
01_Forex;AUDJPY;01_SLTP;SELL;ICHIMOKU;32;8716470032793600000;FAST_GENETIC;625441880;RESEARCH;01_Forex/AUDJPY/01_SLTP/SELL_ICHIMOKU.set;8B5B0E1E130ADD56E51899DEE9BBB0759AB880E3C3837809E6952275EE29207B
01_Forex;AUDJPY;02_SLTP_ORGANIC;BUY;MULTI;33;399504876503040000000;FAST_GENETIC;636497415;RESEARCH;01_Forex/AUDJPY/02_SLTP_ORGANIC/BUY_MULTI.set;2596E52F388CF72E72C06DCBA150C7D49912B3D317EABE740553498C3CF90417
01_Forex;AUDJPY;02_SLTP_ORGANIC;BUY;ICHIMOKU;32;8716470032793600000;FAST_GENETIC;639867696;RESEARCH;01_Forex/AUDJPY/02_SLTP_ORGANIC/BUY_ICHIMOKU.set;3804DB2C8DD14871DE3CBB2BFEAD980F64B25DE83341AA7CA5CFC6AD9B8637E1
